Dataset,Fold,Accuracy,F1 Score,Recall,Precision,ROC-AUC
Real Data,1,0.9990519995786665,0.7032967032967034,0.6464646464646465,0.7710843373493976,0.8280695742753671
Real Data,2,0.9990519995786665,0.7127659574468085,0.6767676767676768,0.7528089887640449,0.8431053584932205
Real Data,3,0.999350432752234,0.8082901554404145,0.7959183673469388,0.8210526315789474,0.941922440150638
Real Data,4,0.9991748740366215,0.7344632768361582,0.6632653061224489,0.8227848101265823,0.7957462745223303
Real Data,5,0.998490195045733,0.3484848484848485,0.23469387755102042,0.6764705882352942,0.39082702176767864
Synthetic Data,1,0.9779235884043977,0.9771093110039137,0.968733080671359,0.9856316562614763,0.9978728976176929
Synthetic Data,2,0.9803813996357172,0.9796642554933807,0.9715755278830536,0.987888797137352,0.9982462211643941
Synthetic Data,3,0.9795255546533828,0.9787631165638586,0.9700415087529327,0.9876429785474757,0.9981078168874229
Synthetic Data,4,0.9789988808181,0.9782118707738543,0.9692307692307692,0.987360970677452,0.9983203227545249
Synthetic Data,5,0.9797450020847506,0.978999340174285,0.9706293706293706,0.9875149178371431,0.9982308807681917
