Dataset,Fold,Accuracy,F1 Score,Recall,Precision,ROC-AUC
Real Data,1,0.9992802219023208,0.7918781725888325,0.7878787878787878,0.7959183673469388,0.9513592567071983
Real Data,2,0.9994908886626171,0.8527918781725888,0.8484848484848485,0.8571428571428571,0.9645492080291511
Real Data,3,0.9995259914678464,0.8601036269430051,0.8469387755102041,0.8736842105263158,0.9907959948131689
Real Data,4,0.9993855444953564,0.8223350253807107,0.826530612244898,0.8181818181818182,0.9655455450210262
Real Data,5,0.999350432752234,0.8121827411167513,0.8163265306122449,0.8080808080808081,0.9707465526702741
Synthetic Data,1,0.9850117404375782,0.9845338647222662,0.9808247608734886,0.9882711278810747,0.9988250508791909
Synthetic Data,2,0.9862187013101011,0.9857860667240053,0.9825392528424473,0.9890544100281587,0.999017032186816
Synthetic Data,3,0.9853189668414931,0.9848522585757953,0.9812308247608735,0.9885005227035135,0.9989619014164901
Synthetic Data,4,0.9856920274748184,0.9852274787021932,0.9809158583352132,0.9895771699057849,0.9990923791641618
Synthetic Data,5,0.9854945247865874,0.9850320418468784,0.9812767877284007,0.9888161483906165,0.9989476137680746
