Dataset,Fold,Accuracy,F1 Score,Recall,Precision,ROC-AUC
Real Data,1,0.9994557775359011,0.8248587570621468,0.7373737373737373,0.9358974358974359,0.9430228102739225
Real Data,2,0.9996137776061234,0.875,0.7777777777777778,1.0,0.9584925632883005
Real Data,3,0.9996137708256526,0.8764044943820225,0.7959183673469388,0.975,0.9627281755253497
Real Data,4,0.9995084355962852,0.8390804597701149,0.7448979591836735,0.9605263157894737,0.9425784206723858
Real Data,5,0.999490879724724,0.8397790055248618,0.7755102040816326,0.9156626506024096,0.9473547592189894
Synthetic Data,1,0.9796791678553403,0.9789162112932605,0.9699061541238043,0.9880952380952381,0.9976047098128993
Synthetic Data,2,0.9812372446180517,0.9805323436325963,0.9714852914636347,0.9897494828774994,0.9980412374075278
Synthetic Data,3,0.9808422392415896,0.980116159890673,0.9707634001082837,0.989650890023458,0.9981280704430868
Synthetic Data,4,0.9796352783690667,0.9788591215600511,0.9692758854049177,0.9886337490221343,0.9981479477017874
Synthetic Data,5,0.9800961179749391,0.9793351712196122,0.9696368147981052,0.9892294946147473,0.9980628315014222
