Dataset,Fold,Accuracy,F1 Score,Recall,Precision,ROC-AUC
Real Data,1,0.9994908886626171,0.8465608465608465,0.8080808080808081,0.8888888888888888,0.9804477783479948
Real Data,2,0.9997191109862715,0.9130434782608695,0.8484848484848485,0.9882352941176471,0.976429259266957
Real Data,3,0.9995786590825302,0.8723404255319149,0.8367346938775511,0.9111111111111111,0.9942231363818588
Real Data,4,0.9995259914678464,0.850828729281768,0.7857142857142857,0.927710843373494,0.969534007085415
Real Data,5,0.9994382121100402,0.8333333333333334,0.8163265306122449,0.851063829787234,0.977082403930392
Synthetic Data,1,0.9867234304022472,0.9863180985549198,0.9838927991337304,0.9887553842666063,0.9990698680103932
Synthetic Data,2,0.9887642915139678,0.9884299014733797,0.986735246345425,0.9901303875407461,0.9992769481591867
Synthetic Data,3,0.9872939937238034,0.986895412262635,0.9836672080851832,0.9901448748807847,0.9992283696979744
Synthetic Data,4,0.9882156729355482,0.9878591937781194,0.9856530566207986,0.9900752288588779,0.9992541142099256
Synthetic Data,5,0.9873598279532138,0.9869812855980472,0.985066546356869,0.9889034829475972,0.9992214953933658
